epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,225.002,0.53187,0.46577,0.97609,0.89689,0.769,0.94672,0.77652,0.76469,1.33624,1.26184,0.00068122,0.00068122,0.00068122
163,226.392,0.51935,0.42883,0.9446,0.91671,0.82208,0.95258,0.77044,0.72264,1.09794,1.21748,0.00067924,0.00067924,0.00067924
164,227.77,0.52448,0.4342,0.94489,0.83586,0.90179,0.93851,0.77616,0.73087,0.94044,1.24552,0.00067726,0.00067726,0.00067726
165,229.114,0.53496,0.43619,0.91878,0.85079,0.90179,0.94331,0.77338,0.7001,0.94078,1.21742,0.00067528,0.00067528,0.00067528
166,230.473,0.54086,0.51825,0.92742,0.85381,0.90407,0.93843,0.79513,0.65972,0.87001,1.17184,0.0006733,0.0006733,0.0006733
167,231.872,0.52343,0.42199,0.92274,0.85653,0.90032,0.9462,0.79785,0.6386,0.84773,1.14814,0.00067132,0.00067132,0.00067132
168,233.276,0.54654,0.43504,0.90659,0.90204,0.90179,0.95647,0.79675,0.6181,0.79065,1.1296,0.00066934,0.00066934,0.00066934
169,234.664,0.50843,0.41517,0.91729,0.91231,0.9019,0.97048,0.76931,0.6128,0.77239,1.11969,0.00066736,0.00066736,0.00066736
170,236.045,0.57198,0.46517,0.96382,0.92187,0.84301,0.97027,0.75908,0.61041,0.75894,1.10508,0.00066538,0.00066538,0.00066538
171,237.402,0.52661,0.41988,0.93269,0.94063,0.89407,0.97829,0.81066,0.58281,0.76545,1.07227,0.0006634,0.0006634,0.0006634
172,238.786,0.58357,0.45775,0.98833,0.90922,0.90274,0.95913,0.85131,0.54182,0.74678,1.0477,0.00066142,0.00066142,0.00066142
173,240.126,0.54803,0.46216,0.94997,0.90272,0.90179,0.95744,0.85257,0.56422,0.76336,1.06855,0.00065944,0.00065944,0.00065944
174,241.533,0.59149,0.44196,0.96557,0.88744,0.90997,0.93824,0.836,0.62686,0.79439,1.12461,0.00065746,0.00065746,0.00065746
175,242.908,0.54702,0.44211,0.95493,0.88123,0.90934,0.93839,0.83124,0.64379,0.79648,1.15143,0.00065548,0.00065548,0.00065548
176,244.298,0.52136,0.45401,0.9362,0.90985,0.89751,0.95105,0.85808,0.61259,0.72202,1.13225,0.0006535,0.0006535,0.0006535
177,245.651,0.53013,0.43064,0.92419,0.89559,0.97591,0.97031,0.82469,0.5648,0.71321,1.10299,0.00065152,0.00065152,0.00065152
178,247.021,0.53987,0.45135,0.96015,0.95799,0.95006,0.9781,0.82464,0.54481,0.71416,1.09394,0.00064954,0.00064954,0.00064954
179,248.398,0.51808,0.41459,0.9167,0.95745,0.9804,0.9786,0.82062,0.54684,0.72314,1.09151,0.00064756,0.00064756,0.00064756
180,249.808,0.55224,0.43944,1.00172,0.9477,0.98214,0.98064,0.86634,0.57812,0.66592,1.10351,0.00064558,0.00064558,0.00064558
181,251.159,0.5595,0.44447,0.95785,0.95513,0.97748,0.98083,0.83891,0.58821,0.64747,1.1034,0.0006436,0.0006436,0.0006436
182,252.528,0.50687,0.41638,0.91464,0.96166,0.97098,0.98179,0.85773,0.58077,0.62807,1.0968,0.00064162,0.00064162,0.00064162
